"site","Src","Plot","Ind","Yrm","Tcode","gl","Tos"
"Toolik","TL","TL8","A",2022,"Toolik.TL8.A.Yellow.2022",11,211
"Toolik","CF","CF7","A",2024,"Toolik.CF7.A.yellow.2024",15,232
"Coldfoot","CF","CF3","B",2024,"Coldfoot.CF3.B.Yellow2.2024",17,207
"Coldfoot","CF","CF2","C",2024,"Coldfoot.CF2.C.Red2.2024",17,223
"Coldfoot","TL","TL10","A",2024,"Coldfoot.TL10.A.blue2.2024",6,215
"Sagwon","SG","SG3","A",2022,"Sagwon.SG3.A.blue.2022",9,206
"Coldfoot","SG","SG5","B",2022,"Coldfoot.SG5.B.Red.2022",13,210
"Coldfoot","SG","SG5","A",2024,"Coldfoot.SG5.A.Yellow2.2024",17,215
"Coldfoot","SG","SG1","B",2024,"Coldfoot.SG1.B.Yellow2.2024",17,215
"Toolik","SG","SG5","SG5",2015,"Toolik.SG5.SG5.Black.2015",10,213
"Sagwon","CF","CF2","A",2023,"Sagwon.CF2.A.blue.2023",13,224
"Toolik","CF","CF7","B",2024,"Toolik.CF7.B.red.2024",15,232
"Coldfoot","SG","SG5","C",2023,"Coldfoot.SG5.C.blue.2023",11,199
"Sagwon","SG","SG10","A",2022,"Sagwon.SG10.A.Blue.2022",9,222
"Coldfoot","TL","TL9","TL9",2016,"Coldfoot.TL9.TL9.Black2.2016",12,217
"Sagwon","TL","TL13","B",2022,"Sagwon.TL13.B.Red.2022",9,NA
"Toolik","SG","SG3","A",2024,"Toolik.SG3.A.red.2024",15,206
"Toolik","TL","TL8","TL8",2016,"Toolik.TL8.TL8.Black.2016",14,226
"Sagwon","CF","CF19","B",2023,"Sagwon.CF19.B.blue.2023",13,217
"Coldfoot","SG","SG5","SG5",2016,"Coldfoot.SG5.SG5.Black.2016",9,187
"Coldfoot","CF","CF3","CF3",2015,"Coldfoot.CF3.CF3.Black.2015",9,182
"Sagwon","SG","SG17","B",2023,"Sagwon.SG17.B.red.2023",13,217
"Coldfoot","TL","TL10","B",2023,"Coldfoot.TL10.B.Yellow.2023",14,222
"Coldfoot","CF","CF2","B",2022,"Coldfoot.CF2.B.Red.2022",13,223
"Sagwon","SG","SG10","B",2022,"Sagwon.SG10.B.Red.2022",9,222
"Sagwon","TL","TL5","TL5",2016,"Sagwon.TL5.TL5.Black2.2016",16,209
"Toolik","TL","TL4","TL4",2016,"Toolik.TL4.TL4.Black.2016",14,226
"Coldfoot","TL","TL9","TL9",2016,"Coldfoot.TL9.TL9.Black.2016",2,NA
"Sagwon","TL","TL16","B",2022,"Sagwon.TL16.B.blue.2022",9,232
"Sagwon","SG","SG14","SG14",2017,"Sagwon.SG14.SG14.Black.2017",13,228
"Coldfoot","TL","TL5","B",2022,"Coldfoot.TL5.B.Red.2022",13,210
"Coldfoot","TL","TL3","A",2024,"Coldfoot.TL3.A.Blue2.2024",17,189
"Coldfoot","SG","SG3","C",2023,"Coldfoot.SG3.C.Red2.2023",13,206
"Coldfoot","TL","TL5","A",2022,"Coldfoot.TL5.A.Blue.2022",13,173
