Site,Src,Plot,Ind,Tiller,Yrm,gr,Tos,Tcode
Coldfoot,SG,SG2,B,Blue2,2024,control,221,Coldfoot.SG2.B.Blue2.2024
Coldfoot,SG,SG2,C,Blue,2022,control,223,Coldfoot.SG2.C.Blue.2022
Coldfoot,SG,SG2,C,Red,2022,control,220,Coldfoot.SG2.C.Red.2022
Coldfoot,SG,SG2,C,Yellow,2023,control,225,Coldfoot.SG2.C.Yellow.2023
Coldfoot,SG,SG2,C,Yellow2,2024,control,221,Coldfoot.SG2.C.Yellow2.2024
Coldfoot,SG,SG2,SG2,Black,2015,control,200,Coldfoot.SG2.SG2.Black.2015
Coldfoot,SG,SG2,SG2,Black,2016,control,228,Coldfoot.SG2.SG2.Black.2016
Coldfoot,SG,SG2,SG2,Black,2017,control,232,Coldfoot.SG2.SG2.Black.2017
Coldfoot,SG,SG3,A,Blue,2022,control,224,Coldfoot.SG3.A.Blue.2022
Coldfoot,SG,SG3,A,Red,2022,control,211,Coldfoot.SG3.A.Red.2022
Coldfoot,SG,SG3,A,Red,2023,control,198,Coldfoot.SG3.A.Red.2023
Coldfoot,SG,SG3,A,Red2,2024,control,224,Coldfoot.SG3.A.Red2.2024
Coldfoot,SG,SG3,B,Blue,2022,control,230,Coldfoot.SG3.B.Blue.2022
Coldfoot,SG,SG3,B,Blue,2023,control,220,Coldfoot.SG3.B.Blue.2023
Coldfoot,SG,SG3,B,Blue2,2024,control,218,Coldfoot.SG3.B.Blue2.2024
Coldfoot,SG,SG3,B,Red,2022,control,223,Coldfoot.SG3.B.Red.2022
Coldfoot,SG,SG3,C,Blue,2022,control,214,Coldfoot.SG3.C.Blue.2022
Coldfoot,SG,SG3,C,Red,2022,control,215,Coldfoot.SG3.C.Red.2022
Coldfoot,SG,SG3,C,Red2,2023,control,216,Coldfoot.SG3.C.Red2.2023
Coldfoot,SG,SG3,C,Red3,2024,control,226,Coldfoot.SG3.C.Red3.2024
Coldfoot,SG,SG3,SG3,Black,2015,control,214,Coldfoot.SG3.SG3.Black.2015
Coldfoot,SG,SG3,SG3,Black,2017,control,221,Coldfoot.SG3.SG3.Black.2017
Coldfoot,SG,SG3,SG3,Black2,2016,control,210,Coldfoot.SG3.SG3.Black2.2016
Coldfoot,SG,SG4,A,Blue,2022,control,231,Coldfoot.SG4.A.Blue.2022
Coldfoot,SG,SG4,A,Blue,2023,control,211,Coldfoot.SG4.A.Blue.2023
Coldfoot,SG,SG4,A,Blue2,2024,control,228,Coldfoot.SG4.A.Blue2.2024
Coldfoot,SG,SG4,A,Red,2022,control,225,Coldfoot.SG4.A.Red.2022
Coldfoot,SG,SG4,B,Blue,2022,control,234,Coldfoot.SG4.B.Blue.2022
Coldfoot,SG,SG4,B,Red,2023,control,219,Coldfoot.SG4.B.Red.2023
Coldfoot,SG,SG4,B,Red,2024,control,224,Coldfoot.SG4.B.Red.2024
Coldfoot,SG,SG4,C,Blue,2022,control,235,Coldfoot.SG4.C.Blue.2022
Coldfoot,SG,SG4,C,Red,2023,control,213,Coldfoot.SG4.C.Red.2023
Coldfoot,SG,SG4,C,Red2,2024,control,206,Coldfoot.SG4.C.Red2.2024
Coldfoot,SG,SG4,SG4,Black,2015,control,181,Coldfoot.SG4.SG4.Black.2015
Coldfoot,SG,SG4,SG4,Black,2016,control,215,Coldfoot.SG4.SG4.Black.2016
Coldfoot,SG,SG4,SG4,Black,2017,control,224,Coldfoot.SG4.SG4.Black.2017
Coldfoot,SG,SG5,A,Blue,2022,control,233,Coldfoot.SG5.A.Blue.2022
Coldfoot,SG,SG5,A,Red,2022,control,234,Coldfoot.SG5.A.Red.2022
Coldfoot,SG,SG5,A,Yellow,2023,control,219,Coldfoot.SG5.A.Yellow.2023
Coldfoot,SG,SG5,A,Yellow2,2024,control,219,Coldfoot.SG5.A.Yellow2.2024
Coldfoot,SG,SG5,B,Red,2022,control,213,Coldfoot.SG5.B.Red.2022
Coldfoot,SG,SG5,B,blue,2023,control,180,Coldfoot.SG5.B.blue.2023
Coldfoot,SG,SG5,B,blue2,2024,control,228,Coldfoot.SG5.B.blue2.2024
Coldfoot,SG,SG5,C,blue,2023,control,215,Coldfoot.SG5.C.blue.2023
Coldfoot,SG,SG5,C,blue2,2024,control,218,Coldfoot.SG5.C.blue2.2024
Coldfoot,SG,SG5,C,red,2022,control,236,Coldfoot.SG5.C.red.2022
Coldfoot,SG,SG5,SG5,Black,2015,control,178,Coldfoot.SG5.SG5.Black.2015
Coldfoot,SG,SG5,SG5,Black,2016,control,194,Coldfoot.SG5.SG5.Black.2016
Coldfoot,SG,SG5,SG5,Black,2017,control,235,Coldfoot.SG5.SG5.Black.2017
Coldfoot,SG,SG5,SG5,Black2,2016,control,237,Coldfoot.SG5.SG5.Black2.2016
Coldfoot,SG,SG6,A,Yellow,2023,control,222,Coldfoot.SG6.A.Yellow.2023
Coldfoot,SG,SG6,A,Yellow2,2024,control,223,Coldfoot.SG6.A.Yellow2.2024
Coldfoot,SG,SG6,A,blue,2022,control,235,Coldfoot.SG6.A.blue.2022
Coldfoot,SG,SG6,A,red,2022,control,239,Coldfoot.SG6.A.red.2022
Coldfoot,SG,SG6,B,blue,2022,control,215,Coldfoot.SG6.B.blue.2022
Coldfoot,SG,SG6,B,blue,2023,control,213,Coldfoot.SG6.B.blue.2023
